,OBJECTID,GlobalID,Camer_name,Camer_zoriulalt,Camer_uzuulelt,burtgel,Gemteltei_eseh,x,y,xy,lat_lon
0,46,{07C2BFC5-9A56-4585-819E-BFBE321244E7},11,2,2,1,2,11887449.725631129,6083239.097782479,"11887449.725631129,6083239.097782479","(47.857852777569086, 106.78677777736854)"
1,10543,{998C100A-DE01-4B9C-AFD1-A72C55FFBF7D},11,2,2,1,2,11887447.850709733,6083242.274545236,"11887447.850709733,6083242.274545236","(47.857871925332134, 106.78676093466308)"
2,265,{BE6D6863-729E-4CFA-BE65-72631FB2DD69},10,1,1,1,2,11875851.162375204,6078948.22686284,"11875851.162375204,6078948.22686284","(47.8319833331782, 106.6825861109023)"
3,380,{6C802947-A9C7-490B-80A7-3B2EB29F748E},11,1,1,1,2,11892546.30298558,6085523.397651035,"11892546.30298558,6085523.397651035","(47.87161944396949, 106.83256111071056)"
0,384,{22DCC69F-0EC0-4A41-B940-331DF620F228},7,1,2,1,2,11901920.022598812,6099371.700751155,"11901920.022598812,6099371.700751155","(47.95500000015314, 106.91676666668673)"
1,161,{D739DFB9-137F-4FB7-B498-1BD2F64AE058},1,1,2,1,2,11912664.453622501,6091187.578137152,"11912664.453622501,6091187.578137152","(47.9057396814921, 107.0132855327642)"
2,29,{CFDC10EB-25AC-440E-8E9E-59F29FE64CD3},11,2,1,1,2,11903476.330860784,6090160.696321112,"11903476.330860784,6090160.696321112","(47.89955555606118, 106.93074722167204)"
3,610,{1108BEF2-69E9-4DCC-951A-CCBEA0AC6E8E},1,1,2,1,2,11911956.09317477,6096140.725661667,"11911956.09317477,6096140.725661667","(47.93555833312991, 107.00692222259559)"
4,2096,{2E3D279C-B9FE-4679-9456-C254E36CF4C9},11,2,2,1,2,11897455.853133567,6092591.643491815,"11897455.853133567,6092591.643491815","(47.91419409986287, 106.87666435007142)"
5,716,{4A945D8B-4CA7-4CEA-B517-DD1C17E496F7},10,1,2,1,2,11913232.556670168,6096024.8781326115,"11913232.556670168,6096024.8781326115","(47.93486111083936, 107.01838888927094)"
