,OBJECTID,Ner,Holboo_barih_utas,Duureg,Horoo,Bairshil,x,y,xy,lat_lon
0,378,,,8,127,,11884604.873424243,6083560.976079494,"11884604.873424243,6083560.976079494","(47.85979284538547, 106.76122203518347)"
1,1420,,,8,125,,11887435.118617857,6084875.036139568,"11887435.118617857,6084875.036139568","(47.867712370341025, 106.78664656033577)"
2,2084,Нүхт 29-ТБЗ 1-3,88663889,8,123,,11890602.912774162,6085044.332231057,"11890602.912774162,6085044.332231057","(47.86873258931671, 106.8151033394113)"
3,2399,6 нэрийн дэлгүүр,0,8,126,,11885614.241553942,6085241.183068114,"11885614.241553942,6085241.183068114","(47.86991883456672, 106.7702893433656)"
4,361,,,8,127,,11880781.976985961,6081468.512447438,"11880781.976985961,6081468.512447438","(47.84717957136387, 106.72688037218234)"
5,1549,,,8,123,,11890101.89194728,6085333.35973164,"11890101.89194728,6085333.35973164","(47.87047429215865, 106.81060259274679)"
6,2044,нүхт 27-480,99271933,8,123,,11889677.172853775,6084898.922749432,"11889677.172853775,6084898.922749432","(47.86785631801544, 106.80678727621526)"
7,1363,,,8,125,,11889158.236073105,6084906.08867821,"11889158.236073105,6084906.08867821","(47.86789950191329, 106.80212558779958)"
8,1334,,,8,125,,11888666.307132894,6085096.285567236,"11888666.307132894,6085096.285567236","(47.8690456685921, 106.79770651494267)"
9,2210,,96053886,8,133,,11885403.072949352,6084078.120381673,"11885403.072949352,6084078.120381673","(47.86290969450327, 106.7683923835153)"
10,1283,,,8,125,,11888315.174416892,6084820.395582502,"11888315.174416892,6084820.395582502","(47.867383088912185, 106.79455223608728)"
11,2216,,98790872,8,133,,11885214.369078698,6083434.377307976,"11885214.369078698,6083434.377307976","(47.85902980104066, 106.76669722780348)"
12,2396,,,8,131,,11878387.543271072,6070718.412430652,"11878387.543271072,6070718.412430652","(47.78233009098158, 106.70537080815336)"
13,381,,,8,127,,11883966.430042868,6083639.801859258,"11883966.430042868,6083639.801859258","(47.860267943575856, 106.75548680070814)"
14,1406,,,8,125,,11888841.276149075,6084465.680048283,"11888841.276149075,6084465.680048283","(47.865245409066254, 106.7992782883575)"
15,375,,,8,127,,11884483.051826566,6083217.009555491,"11884483.051826566,6083217.009555491","(47.85771964179852, 106.76012769315219)"
16,2047,,,8,123,,11889695.087676542,6085512.210456635,"11889695.087676542,6085512.210456635","(47.8715520316196, 106.8069482078063)"
17,364,,,8,127,,11880428.45571544,6081888.916094582,"11880428.45571544,6081888.916094582","(47.8497139913946, 106.72370463657663)"
18,1552,БОСА ХХК,95922617,8,123,,11889677.578686912,6084994.170481948,"11889677.578686912,6084994.170481948","(47.86843030464256, 106.80679092187636)"
19,2041,НҮХТ 18,0,8,123,,11889765.688353974,6085423.531578509,"11889765.688353974,6085423.531578509","(47.871017662942755, 106.80758242448238)"
20,367,,,8,127,,11884686.087698536,6083181.179658259,"11884686.087698536,6083181.179658259","(47.85750367801663, 106.76195159542233)"
21,2219,,99066560,8,133,,11884938.807600629,6083092.20219951,"11884938.807600629,6083092.20219951","(47.85696736478697, 106.76422181692884)"
22,1409,,,8,125,,11889376.798172776,6084205.6149173,"11889376.798172776,6084205.6149173","(47.8636780803063, 106.80408896454622)"
23,1337,,,8,125,,11888068.545660662,6084814.423894972,"11888068.545660662,6084814.423894972","(47.86734710149116, 106.79233673227502)"
24,1417,,,8,125,,11888170.526437081,6084630.795916041,"11888170.526437081,6084630.795916041","(47.86624048461042, 106.79325284117648)"
25,1237,,,8,124,,11889625.569417106,6084846.073721692,"11889625.569417106,6084846.073721692","(47.86753783383158, 106.80632371465654)"
26,2213,,99872415,8,133,,11885806.756058546,6084482.997818967,"11885806.756058546,6084482.997818967","(47.865349776007996, 106.77201873058459)"
27,808,хямдхан 6 нэр,86072663,8,126,,11884357.031488096,6085171.850362057,"11884357.031488096,6085171.850362057","(47.869501030991536, 106.75899563319061)"
28,2397,,,8,131,,11880018.211973438,6070613.027805327,"11880018.211973438,6070613.027805327","(47.781693962227514, 106.72001935434008)"
29,382,,,8,127,,11883815.944753412,6083835.671648628,"11883815.944753412,6083835.671648628","(47.86144846975454, 106.7541349683526)"
30,376,,,8,127,,11884442.444638241,6083205.066260842,"11884442.444638241,6083205.066260842","(47.85764765399787, 106.75976291257301)"
31,2048,нүхтийн 19-319,88113645,8,123,,11889678.502352787,6085430.100349292,"11889678.502352787,6085430.100349292","(47.87105724578574, 106.8067992193081)"
32,370,,,8,127,,11884583.3754957,6082956.645834732,"11884583.3754957,6082956.645834732","(47.85615028570138, 106.7610289160056)"
33,2042,НҮХТ 4-77В,99108282,8,123,,11890546.182065398,6085448.612370645,"11890546.182065398,6085448.612370645","(47.87116879745807, 106.81459371878368)"
34,1412,,,8,125,,11888555.234578855,6084173.069529926,"11888555.234578855,6084173.069529926","(47.86348193640524, 106.79670873321328)"
35,1361,,,8,125,,11887832.068647759,6084643.634944739,"11887832.068647759,6084643.634944739","(47.86631785858709, 106.7902124231247)"
36,1338,,,8,125,,11887983.151079064,6084870.557417628,"11887983.151079064,6084870.557417628","(47.86768538021247, 106.79156961969672)"
37,1369,,,8,121,,11892149.566364724,6084881.306318547,"11892149.566364724,6084881.306318547","(47.86775015630613, 106.82899716500769)"
38,1418,,,8,125,,11887370.92347553,6084936.842713738,"11887370.92347553,6084936.842713738","(47.8680848339536, 106.78606988556058)"
39,2059,Аз билэг хүнсний дэлгүүр,99224755,8,129,,11874627.573786406,6082627.608359819,"11874627.573786406,6082627.608359819","(47.85416692697211, 106.67159442759439)"
40,2222,,99185815,8,133,,11885146.292416492,6083095.187998073,"11885146.292416492,6083095.187998073","(47.85698536183136, 106.76608568474198)"
41,2214,,96049819,8,133,,11887389.241428766,6084670.507402465,"11887389.241428766,6084670.507402465","(47.866479804180166, 106.78623443853424)"
42,379,,,8,127,,11884251.874569638,6083631.441546157,"11884251.874569638,6083631.441546157","(47.86021755456141, 106.75805099251978)"
43,2039,НҮН,0,8,123,,11890248.061923655,6084738.882655459,"11890248.061923655,6084738.882655459","(47.86689186212056, 106.81191565998537)"
44,2394,,,8,131,,11879442.73243469,6071008.0371335065,"11879442.73243469,6071008.0371335065","(47.784078300226014, 106.71484973368652)"
