,OBJECTID,District,Khoroo,Hayg,Tsetserleg_ner,Umchiin_helber,Zahiramjiin_dugaar,Tsetserlegiin_hew_shinj,Tsetserlegiin_angilal,Bulgiin_too,huuhdiin_too,Bagsh_ajiltanii_too,huchin_chadal,Tsetserlegiin_erhlegch,hicheeliin_bairnii_dugaar,Hen_oruulsan,Zaswar_hiisen_hun,created_user,created_date,last_edited_user,last_edited_date,Uil_ajilgaa_ehlesen_on,Barilgiin_ashiglaltand_orosn_on,Utasnii_dugaar,x,y,xy,lat_lon
0,1635,5,4,5-р хорооны зүүн талд,145-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1561011869000,Esri_Anonymous,1561011896000,,,,11891635.154850243,6085256.661619599,"11891635.154850243,6085256.661619599","(47.87001210890473, 106.82437612774986)"
1,1638,5,6,Цагдаагийн 2-р хэлтсийн зүүн талд,189-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1561012047000,Esri_Anonymous,1561012073000,,,,11890246.63678939,6084700.270051043,"11890246.63678939,6084700.270051043","(47.86665916678088, 106.81190285778645)"
2,1641,5,9,Нисэх,134-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1561012264000,Esri_Anonymous,1561012296000,,,,11884521.971880477,6084159.479317102,"11884521.971880477,6084159.479317102","(47.863400030958005, 106.76047731794506)"
3,1650,5,14,Өлзийт тосгон,165-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1561012994000,Esri_Anonymous,1561013017000,,,,11878660.103360657,6071987.447705,"11878660.103360657,6071987.447705","(47.78998970366175, 106.70781925709652)"
4,1647,5,12,Био комбинат,121-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1561012657000,Esri_Anonymous,1561012680000,,,,11875169.166392751,6080914.4892333485,"11875169.166392751,6080914.4892333485","(47.84383943133473, 106.67645963675483)"
5,1644,5,10,Өрхийн эмнэлэгийн урд,230-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1561012446000,Esri_Anonymous,1561012488000,,,,11884526.273700586,6083271.3819014495,"11884526.273700586,6083271.3819014495","(47.858047367993855, 106.76051596185259)"
6,1653,5,16,Буянт-Ухаа 1 хороолол,223-р цэцэрлэг,1,,1,3,6.0,289.0,32.0,150.0,Г.Тунгалаг,2.0,НБГ,,Esri_Anonymous,1561013318000,Esri_Anonymous,1561013387000,2015.0,2015.0,99138050.0,11884810.922353785,6082980.831379531,"11884810.922353785,6082980.831379531","(47.85629606735309, 106.76307300421033)"
7,1639,5,7,60-р сургуулийн зүүн талд,73-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1561012094000,Esri_Anonymous,1561012124000,,,,11889492.03678507,6084562.954301449,"11889492.03678507,6084562.954301449","(47.86583163747341, 106.80512417061367)"
8,1645,5,10,Буянт-Ухаа 2 хороолол,250-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1561012525000,Esri_Anonymous,1561012547000,,,,11887613.709049394,6081228.60134375,"11887613.709049394,6081228.60134375","(47.84573320227274, 106.78825086547825)"
9,1636,5,5,41-р сургуулийн зүүн талд,29-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1561011920000,Esri_Anonymous,1561011954000,,,,11891017.388511214,6085267.709096525,"11891017.388511214,6085267.709096525","(47.870078681316826, 106.8188266383062)"
