,OBJECTID,Discrict,Khoroo,Khoroonii_surguuliin_nasnii_hun,School_name,Umchiin_helber,Huchin_chadal,Bulgiin_too,Student_number,Bagsh_ajilchidiin_too,Huyg,Zahiramjiin_dugaar,Uil_ajillagaa_ehlesen_on,Surguuliin_angilal,Surguuliin_hev_shinj,Barilgiin_ashiglaltand_orson,Surguuliin_zahiral,Utasnii_dugaar,Hicheeliin_bairnii_dugaar,Hen_oruulsan,Zaswar_hiisen_hun,x,y,xy,lat_lon
0,192,5,13.0,748.0,26-р сургууль,1,,21.0,610.0,50.0,,,,,,,,,,,,11862049.16522049,6066055.115658369,"11862049.16522049,6066055.115658369","(47.75417378104517, 106.55860066094776)"
1,209,5,5.0,1109.0,41-р сургууль,1,,42.0,1278.0,86.0,,,,,,,,,,,,11890878.084642991,6085167.693159703,"11890878.084642991,6085167.693159703","(47.86947597930201, 106.8175752503666)"
2,189,5,8.0,2127.0,118-р сургууль,1,,38.0,1488.0,83.0,,,,,,,,,,,,11888467.511987109,6083897.966442893,"11888467.511987109,6083897.966442893","(47.861823920874606, 106.79592070776398)"
3,190,5,16.0,2322.0,Буянт-Ухаа цогцолбор сургууль,1,,64.0,2747.0,139.0,,,,,,,,,,,,11884867.366677266,6083553.28126009,"11884867.366677266,6083553.28126009","(47.85974646699035, 106.76358005219517)"
4,207,5,9.0,1764.0,114-р сургууль,1,,43.0,1421.0,96.0,,,,,,,,,,,,11884842.382950258,6084604.336676686,"11884842.382950258,6084604.336676686","(47.86608102852586, 106.7633556195569)"
5,193,5,4.0,1762.0,63-р тусгай сургууль,1,,20.0,251.0,68.0,,,,,,,,,,,,11892209.301921679,6084691.479138651,"11892209.301921679,6084691.479138651","(47.86660618900295, 106.82953377864588)"
6,216,5,14.0,955.0,59-р сургууль,1,,24.0,759.0,64.0,,,,,,,,,,,,11878640.778013138,6071798.663296703,"11878640.778013138,6071798.663296703","(47.788850314724094, 106.70764565454604)"
7,233,5,,,Алтан босго сургууль,2,,,,,,,,,,,,,,,,11892287.919747401,6082634.109072626,"11892287.919747401,6082634.109072626","(47.85420611243939, 106.83024001459039)"
8,210,5,7.0,887.0,60-р сургууль,1,,40.0,1270.0,96.0,,,,,,,,,,,,11889323.076717826,6084505.730008758,"11889323.076717826,6084505.730008758","(47.865486773064184, 106.80360637650556)"
9,191,5,10.0,2191.0,135-р бага сургууль,1,180.0,9.0,191.0,28.0,,,,,,,,,,,,11880112.732723104,6080992.804051079,"11880112.732723104,6080992.804051079","(47.8443115951045, 106.72086844868099)"
10,206,5,12.0,1133.0,10-р сургууль,2,,27.0,806.0,61.0,,,,,,,,,,,,11875412.729496231,6081081.882738541,"11875412.729496231,6081081.882738541","(47.844848649533574, 106.67864760133988)"
0,23,6,11.0,2177.0,29-р тусгай сургууль,1,,33.0,301.0,143.0,,,,,,,,,,,,11903303.729249146,6095665.119865294,"11903303.729249146,6095665.119865294","(47.93269586460518, 106.92919671501406)"
1,238,1,1.0,2792.0,Эрхэт эрдэм сургууль,2,,12.0,148.0,26.0,,,,,,,,,,,,11898170.690905029,6092193.646064058,"11898170.690905029,6092193.646064058","(47.9117977442959, 106.88308584702914)"
2,215,6,1.0,1358.0,АШУҮИС-ийн харьяа ЕБСургууль,1,,7.0,214.0,16.0,,,,,,,,,,,,11902606.098750135,6092814.651875742,"11902606.098750135,6092814.651875742","(47.91553679214608, 106.92292979361476)"
3,92,7,1.0,825.0,23-р сургууль,1,,64.0,3483.0,149.0,,,,,,,,,,,,11901066.34758337,6093365.260991413,"11901066.34758337,6093365.260991413","(47.91885175870988, 106.9090979735463)"
4,115,1,3.0,2351.0,Соёмбо бага сургууль,2,,5.0,130.0,12.0,,,,,,,,,,,,11900067.782759259,6090841.018268282,"11900067.782759259,6090841.018268282","(47.903652698498064, 106.90012771310947)"
5,138,3,13.0,2130.0,55-р тусгай сургууль,1,,40.0,502.0,122.0,,,,,,,,,,,,11907409.543850414,6092742.498722864,"11907409.543850414,6092742.498722864","(47.91510237515423, 106.96607987511486)"
6,161,3,1.0,1498.0,Эрхэм баян эрдэм сургууль,2,,11.0,234.0,24.0,,,,,,,,,,,,11903487.264016684,6093346.500828607,"11903487.264016684,6093346.500828607","(47.918738815813896, 106.93084543588252)"
7,29,6,11.0,2177.0,Шинэ зууны удирдагч сургууль,2,,13.0,144.0,23.0,,,,,,,,,,,,11902122.271510953,6095626.888326518,"11902122.271510953,6095626.888326518","(47.93246575839158, 106.91858349957646)"
8,232,5,15.0,4680.0,Этүгэн сургууль,2,,12.0,210.0,19.0,,,,,,,,,,,,11899777.590568777,6088674.439101068,"11899777.590568777,6088674.439101068","(47.89060365472674, 106.89752087230904)"
9,175,3,14.0,2394.0,Г.В.Плехановын нэрэмжит ЭЗИС-ийн харьяа сургууль,2,,54.0,1197.0,105.0,,,,,,,,,,,,11905420.36355189,6093106.890930408,"11905420.36355189,6093106.890930408","(47.917296256764494, 106.94821076446452)"
10,169,3,,,Гёте сургууль,2,,22.0,454.0,,,,,,,,,,,,,11904892.737107685,6092478.333068767,"11904892.737107685,6092478.333068767","(47.913511865388664, 106.94347101547316)"
11,221,7,17.0,2662.0,37-р сургууль,1,,58.0,1787.0,117.0,,,,,,,,,,,,11900383.114695843,6102018.006723092,"11900383.114695843,6102018.006723092","(47.97091810479147, 106.90296038809151)"
12,75,1,4.0,3355.0,Шинэ эрин сургууль,1,,15.0,368.0,40.0,,,,,,,,,,,,11898080.976742612,6092490.663201904,"11898080.976742612,6092490.663201904","(47.913586104731294, 106.88227993099613)"
13,132,3,16.0,3229.0,44-р сургууль,1,,93.0,3840.0,186.0,,,,,,,,,,,,11909045.179478472,6093663.867120746,"11909045.179478472,6093663.867120746","(47.92064944131005, 106.9807730399542)"
14,15,6,3.0,1602.0,Монгол-Оросын хамтарсан сургууль,1,,78.0,2222.0,213.0,,,,,,,,,,,,11900480.243348248,6092095.567849558,"11900480.243348248,6092095.567849558","(47.91120719510636, 106.90383290962134)"
