,OBJECTID,Ner,Holboo_barih_utas,Duureg,Horoo,Bairshil,Tsahim_hayg,x,y,xy,lat_lon
0,35,'Кама' боловсролын төв,88910011,8,133,,,11886358.535816945,6083884.639196935,"11886358.535816945,6083884.639196935","(47.86174359770737, 106.77697545248897)"
1,36,хос хүлэг ,0,8,126,,,11884778.811566217,6084280.483050277,"11884778.811566217,6084280.483050277","(47.864129291281394, 106.76278454809774)"
2,37,норбулаг,0,8,126,,,11884777.390502322,6084193.482072729,"11884777.390502322,6084193.482072729","(47.86360495840385, 106.76277178246357)"
0,4,8-р байр,0,8,119,,,11899992.94102149,6090599.900895061,"11899992.94102149,6090599.900895061","(47.90220064041244, 106.8994553983402)"
1,5,нэхмэл 12 байр,0,8,119,,,11900074.752484985,6090269.07182158,"11900074.752484985,6090269.07182158","(47.90020825385539, 106.90019032322093)"
2,6,Шашны байгууллага ,0,7,107,,,11902699.342978904,6095205.67963797,"11902699.342978904,6095205.67963797","(47.92993053927617, 106.92376742077334)"
3,7,Чи чадна,0,7,100,,,11899866.251049206,6092306.447033979,"11899866.251049206,6092306.447033979","(47.912476933904635, 106.8983173229557)"
4,8,Англи хэлний сургалтын төв,0,7,100,,,11900551.79564014,6092114.458772627,"11900551.79564014,6092114.458772627","(47.91132094178046, 106.90447567479555)"
5,9,хүүхэд элгэмсэг ТББ ,357188,7,112,,,11903674.307118027,6103262.022966889,"11903674.307118027,6103262.022966889","(47.97839943750588, 106.93252567264976)"
6,10,Бизкон Аудит ХХК,96969607,7,107,,,11902368.840675449,6095258.230090899,"11902368.840675449,6095258.230090899","(47.930246842749106, 106.92079846806703)"
7,11,Рапид 28-1 тоот Хөгжил сургалтын төв,99086854,8,132,,,11902324.053235887,6090176.3619998675,"11902324.053235887,6090176.3619998675","(47.899649904037084, 106.9203961356521)"
8,12,Рапид 21-р байрны 1 тоот Нүдний дасгалын төв,91756565,8,132,,,11902316.887365365,6090431.351257666,"11902316.887365365,6090431.351257666","(47.90118557587065, 106.92033176354195)"
9,13,Рапид 26-р байр Туяа иог,88666677,8,132,,,11902178.34517112,6090150.683954033,"11902178.34517112,6090150.683954033","(47.89949525557923, 106.91908721783611)"
10,14,UB mart дотроо ,0,7,98,,,11902068.873119656,6092506.497052709,"11902068.873119656,6092506.497052709","(47.913681439691196, 106.91810381366597)"
11,15,Нээлттэй нийгмийн хүрээлэн ,0,7,98,,,11901984.75272631,6092757.306083721,"11901984.75272631,6092757.306083721","(47.915191527053544, 106.91734814731547)"
12,16,Их хурд авто сургууль,0,7,108,,,11903171.891278554,6095825.536161561,"11903171.891278554,6095825.536161561","(47.93366135961241, 106.92801239437395)"
13,17,Сэрүүлэг авто сургууль,0,7,108,,,11902165.478126284,6095875.6979720965,"11902165.478126284,6095875.6979720965","(47.93396326400267, 106.91897163120572)"
14,18,Help суралтын төв,0,7,98,,,11903125.61098767,6092654.295190463,"11903125.61098767,6092654.295190463","(47.91457131768594, 106.92759665144742)"
15,19,,,7,105,,,11902793.993599184,6095006.226731936,"11902793.993599184,6095006.226731936","(47.92873000591216, 106.92461768176184)"
16,20,гүн энх авто сургалтын төв,0,7,105,,,11902563.488237984,6094481.916620847,"11902563.488237984,6094481.916620847","(47.92557398123918, 106.92254701687146)"
17,21,авто сургалтын төв,0,7,105,,,11902604.095351998,6094700.478668459,"11902604.095351998,6094700.478668459","(47.926889613863246, 106.92291179678308)"
18,22,их тойруу 17/1 байрны 2 давхар 202,77090648,7,106,,,11901595.410234323,6095127.7497261865,"11901595.410234323,6095127.7497261865","(47.92946147216958, 106.91385062420238)"
19,23,усан бассейн сургалтын төв ,0,7,105,,,11903327.88650534,6093807.718053226,"11903327.88650534,6093807.718053226","(47.9215154371342, 106.92941372333866)"
20,24,түрк монголын хамтарсан нийгэмлэг ,0,7,105,,,11903238.908921732,6093853.699716134,"11903238.908921732,6093853.699716134","(47.9217922479101, 106.92861442410567)"
21,25,англи хэлний сургалтын төв ,0,7,105,,,11902334.069750912,6094539.244325557,"11902334.069750912,6094539.244325557","(47.92591906816999, 106.9204861155375)"
22,26,англи хэлний сургалтын төв ,0,7,105,,,11902713.674973587,6093753.376116353,"11902713.674973587,6093753.376116353","(47.92118829538749, 106.9238961672721)"
23,27,багш хөгжлийн сургалтын төв ,0,7,105,,,11903236.790910054,6093317.446264054,"11903236.790910054,6093317.446264054","(47.918563896447544, 106.92859539768304)"
24,28,Сургалтын төв ,0,7,98,,,11901419.909859048,6091875.891687772,"11901419.909859048,6091875.891687772","(47.9098844551063, 106.91227407750759)"
25,30,Сэлбэ плаза,0,7,104,,,11903085.24184613,6094921.429392385,"11903085.24184613,6094921.429392385","(47.92821959109161, 106.92723400927888)"
26,31,,,7,104,,,11902970.58628383,6095083.858141635,"11902970.58628383,6095083.858141635","(47.929197282924996, 106.92620404083866)"
27,32,,0,7,104,,,11903186.759663502,6094670.620508266,"11903186.759663502,6094670.620508266","(47.926709884863044, 106.92814595934844)"
28,33,,,7,104,,,11903342.880888611,6094435.3377336105,"11903342.880888611,6094435.3377336105","(47.92529359564717, 106.92954842017535)"
29,34,,,3,21,,,11898064.48043806,6094109.286096506,"11898064.48043806,6094109.286096506","(47.92333085739857, 106.88213174217101)"
30,405,Монголын Урлан бүтээх төв ,11329426,7,103,"Сүхбаатар дүүрэг, Бага тойруу гудамж ",huuhdiinurlan.ub.gov.mn,11901792.264861034,6094715.992829925,"11901792.264861034,6094715.992829925","(47.92698299997107, 106.91561899940162)"
31,804,Чухал амжилт,98989991,9,142,Чингэлтэй дүүргийн 9 дүгээр хороо Дэнж 1-27 тоот,Chuhal@yahoo.com,11900541.9243954,6095201.270495247,"11900541.9243954,6095201.270495247","(47.929904000365454, 106.90438699989528)"
