,OBJECTID,Ner,Holboo_barih_utas,Duureg,Horoo,Bairshil,x,y,xy,lat_lon
0,212,Төв автобусны буудлын Түргэн үйлчилгээний цэг ,96059687,8,129,,11875463.69148669,6080976.026190768,"11875463.69148669,6080976.026190768","(47.84421044094653, 106.67910540068927)"
1,1203,Мягмарсүрэн,99224024,8,158,Спорт ордоны автобусны буудал дээр байрлах,11887047.998393562,6083023.291368727,"11887047.998393562,6083023.291368727","(47.85655199970559, 106.783169000193)"
2,211,Түргэн үйлчилгээний цэг ,86935758,8,129,,11875455.878630947,6081035.244940283,"11875455.878630947,6081035.244940283","(47.84456747145323, 106.67903521661201)"
3,1201,Наранчулуун,86192156,8,158,Буянт-Ухаа 1 хорооллын автобусны буудал дээр байрлах ,11885063.617175223,6082921.095417589,"11885063.617175223,6082921.095417589","(47.85593599999612, 106.76534300041347)"
4,1204,Отгонбаяр,89063335,8,158,Спорт ордоны автобусны буудал дээр байрлах,11887054.009568531,6083028.268522163,"11887054.009568531,6083028.268522163","(47.85658199997407, 106.7832229994965)"
5,1202,Баярбат,96006171,8,158,Спорт ордоны автобусны буудал дээр байрлах,11887040.540023664,6083020.305194531,"11887040.540023664,6083020.305194531","(47.85653400024662, 106.78310200051627)"
0,261,,,7,107,,11903075.661064636,6095485.036353983,"11903075.661064636,6095485.036353983","(47.931611977366416, 106.92714794365439)"
1,23,,,3,10,,11899264.45401843,6091525.953290536,"11899264.45401843,6091525.953290536","(47.90777729495539, 106.8929112882489)"
2,238,,,7,105,,11902352.42687621,6095088.426934337,"11902352.42687621,6095088.426934337","(47.92922478315465, 106.92065102039976)"
3,355,Модны 2-ын автобусны буудал хүнсний түц-3,0,3,23,,11899042.705516458,6093482.802620676,"11899042.705516458,6093482.802620676","(47.91955939578439, 106.89091928756335)"
4,46,,,9,139,,11900674.648811648,6094735.412836942,"11900674.648811648,6094735.412836942","(47.92709989672935, 106.90557928361221)"
5,215,Оргил худалдааны төвийн урд автобусны буудал дээр,0,8,132,,11901010.56252711,6089251.951753699,"11901010.56252711,6089251.951753699","(47.89408226492991, 106.90859684785967)"
6,378,,,7,104,,11903232.228706392,6095155.609605481,"11903232.228706392,6095155.609605481","(47.92962916376254, 106.92855441471026)"
7,401,,,3,8,,11898467.328058202,6091733.681404777,"11898467.328058202,6091733.681404777","(47.90902814375962, 106.88575058391447)"
8,92,ган зам,21245280,3,10,,11898756.447679108,6092304.1185963135,"11898756.447679108,6092304.1185963135","(47.912462914162596, 106.88834778965845)"
9,115,,,4,53,,11914948.092179945,6093156.211801686,"11914948.092179945,6093156.211801686","(47.91759319381689, 107.03379980695976)"
10,138,,0,4,34,,11905559.088218851,6093448.822316087,"11905559.088218851,6093448.822316087","(47.919354824803236, 106.94945694935066)"
11,384,,,7,104,,11903051.475184856,6094839.337206469,"11903051.475184856,6094839.337206469","(47.92772545441832, 106.92693067819972)"
12,29,амарын гудамж ,0,7,105,,11902569.161238117,6093889.529642588,"11902569.161238117,6093889.529642588","(47.92200794394855, 106.92259797829873)"
13,232,Оюутны гудамж,96669340,7,105,,11902902.230016261,6093902.336336715,"11902902.230016261,6093902.336336715","(47.92208503998654, 106.92558998603943)"
14,278,,,8,119,,11898196.794803713,6089497.151447836,"11898196.794803713,6089497.151447836","(47.895559138799555, 106.88332034234077)"
15,315,,,4,34,,11905954.725462979,6094179.685759774,"11905954.725462979,6094179.685759774","(47.92375464968038, 106.95301101918433)"
