,OBJECTID,Ner,Holboo_barih_utas,Duureg,Horoo,Bairshil,Tsahim_hayg,x,y,xy,lat_lon
0,4,"6 хэсэг, ХААИС ",,8,128,,,11901069.084484624,6088046.874162087,"11901069.084484624,6088046.874162087","(47.886823292874105, 106.90912255954858)"
1,5,,,4,49,,,11909628.933210177,6094778.707123041,"11909628.933210177,6094778.707123041","(47.927360501332785, 106.98601698894774)"
2,6,Эрдэм хотхон ШУТИС-БХУС,460352,4,32,,baysaa1199@gmail.com,11904861.412487948,6094899.931590358,"11904861.412487948,6094899.931590358","(47.92809019004323, 106.94318962162639)"
3,9,Соёл Боловсролын сургууль,,9,137,,,11900975.52102008,6094208.713831548,"11900975.52102008,6094208.713831548","(47.9239293920162, 106.90828206464623)"
4,10,Улаанбаатар Эрдэм Их сургууль,,9,137,,,11900929.0775293,6094259.17422048,"11900929.0775293,6094259.17422048","(47.92423315058188, 106.90786485567007)"
5,11,Улаанбаатар Эрдэм Оюу дээд сургууль,,9,137,,,11900976.1181539,6094290.525339038,"11900976.1181539,6094290.525339038","(47.92442187535536, 106.90828742879059)"
6,12,Шинэ Иргэншил дээд сургууль,,9,137,,,11901592.988979597,6094267.235961872,"11901592.988979597,6094267.235961872","(47.924281680026766, 106.9138288737011)"
7,13,Үндэсний тагнуулын академи,,9,137,,,11901577.761153566,6093708.290169606,"11901577.761153566,6093708.290169606","(47.92091687369092, 106.91369207981242)"
8,17,Сити их сургууль,354254,7,104,,"354254, 9916-8057, 354474",11903479.564301072,6094501.622917554,"11903479.564301072,6094501.622917554","(47.92569260451862, 106.93077626816033)"
9,18,Хэл иргэншлийн дээд сургууль,88666006,7,104,,,11902835.821272247,6094937.552853863,"11902835.821272247,6094937.552853863","(47.92831664232727, 106.92499342614195)"
10,19,СУ,70110758,9,139,,,11901612.634682981,6094555.964901955,"11901612.634682981,6094555.964901955","(47.9260197180662, 106.91400535405727)"
11,20,Мон алтиус,88008968,3,25,,bgdmonaltius@yahoo.com,11898502.472387977,6093152.62879349,"11898502.472387977,6093152.62879349","(47.917571622319194, 106.88606629080034)"
12,21,МҮИ,8,3,18,,b,11899167.172315635,6094536.855696755,"11899167.172315635,6094536.855696755","(47.92590468974772, 106.89203739184401)"
13,22,Хүрээ дээд сургууль,8,3,18,,b,11898264.259849846,6094615.681317083,"11898264.259849846,6094615.681317083","(47.926379180808865, 106.88392639116161)"
14,23,РТДСургууль,8,3,18,,b,11898796.930471651,6095005.032433447,"11898796.930471651,6095005.032433447","(47.92872281718801, 106.8887114527713)"
15,24,Сэрүүлэг дээд сургууль,8,3,18,,b,11899103.872897971,6094456.835590713,"11899103.872897971,6094456.835590713","(47.9254230040239, 106.89146876350038)"
16,25,Жонон дээд сургууль,0,3,10,,,11898758.828557217,6092199.5546264285,"11898758.828557217,6092199.5546264285","(47.91183332075524, 106.8883691774504)"
17,26,Амарсанаагийн гудамж ,0,3,24,,,11898931.488350231,6093122.7706520315,"11898931.488350231,6093122.7706520315","(47.917391861055016, 106.88992020676058)"
18,27,Ж.Х.Д гудамж ,0,3,24,,,11898665.946168594,6093078.580424026,"11898665.946168594,6093078.580424026","(47.91712581216225, 106.88753480075714)"
19,28,Дамдинбазарын гудамж ,0,3,24,,,11899011.107081814,6092950.787286323,"11899011.107081814,6092950.787286323","(47.916356421178634, 106.8906354339954)"
20,29,Амарсанаагийн гудамж ,0,3,24,,,11898908.39492843,6092981.839807259,"11898908.39492843,6092981.839807259","(47.91654337694582, 106.8897127550229)"
21,30,,,8,132,,,11900217.783384997,6089306.890798152,"11900217.783384997,6089306.890798152","(47.89441317454754, 106.90147519165676)"
22,31,,,4,34,,,11905941.921451006,6094250.21678792,"11905941.921451006,6094250.21678792","(47.92417922927146, 106.95289599878781)"
23,32,,,4,34,,,11905717.905265069,6093543.1743675945,"11905717.905265069,6093543.1743675945","(47.919922848668364, 106.95088362715065)"
24,33,,,8,120,,,11899713.848158529,6090354.914193642,"11899713.848158529,6090354.914193642","(47.90072523872474, 106.89694826449532)"
25,34,,,8,120,,,11899401.097419094,6090399.402973282,"11899401.097419094,6090399.402973282","(47.90099316994585, 106.89413877680178)"
26,35,,,8,120,,,11899122.655638868,6089852.699062451,"11899122.655638868,6089852.699062451","(47.89770057962158, 106.89163749173262)"
27,36,,,8,120,,,11899332.857318921,6089964.9659418855,"11899332.857318921,6089964.9659418855","(47.898376737546016, 106.89352576555203)"
28,37,,,8,120,,,11899072.493830377,6090489.873341824,"11899072.493830377,6090489.873341824","(47.90153801847235, 106.89118688054016)"
29,38,,,8,120,,,11899097.4393618,6089597.411328152,"11899097.4393618,6089597.411328152","(47.89616300669124, 106.89141097006164)"
30,39,,,8,120,,,11899017.55466601,6089849.116107565,"11899017.55466601,6089849.116107565","(47.897679000152394, 106.89069335362971)"
31,40,,,8,120,,,11898817.504652206,6090521.523047709,"11898817.504652206,6090521.523047709","(47.90172862422985, 106.88889627377982)"
32,41,Монгол Улсын Их Сургууль,77307730,7,103,,webmaster@num.edu.mn,11902185.781825304,6094020.90574563,"11902185.781825304,6094020.90574563","(47.92279881995877, 106.91915402243725)"
33,43,МУИС -Бизнесийн их сургууль,77307730,7,105,"ИХ СУРГУУЛИЙН ГУДАМЖ – 1, БАГА ТОЙРУУ-4, СҮХБААТАР ДҮҮРЭГ, УЛААНБААТАР",,11902493.265454292,6094582.240152918,"11902493.265454292,6094582.240152918","(47.92617788215114, 106.92191619487264)"
34,44,МУИС-Шинжлэх Ухаааны Их Сургууль,976,7,103,,sas@num.edu.mn,11902319.275926787,6093992.839071469,"11902319.275926787,6093992.839071469","(47.922629861332844, 106.92035322035429)"
35,45,МУИС-Олон Улсын Харилцаа Нийтийн Удирдлагын Сургууль,77307730,7,105,, sirparo@num.edu.mn,11902464.984018538,6094460.418645445,"11902464.984018538,6094460.418645445","(47.92544457252806, 106.92166213841269)"
36,46,МУИС-Бизнесийн Их Сургууль,77307730,7,105,"ИХ СУРГУУЛИЙН ГУДАМЖ – 1, БАГА ТОЙРУУ-4, СҮХБААТАР ДҮҮРЭГ, УЛААНБААТАР",,11902410.64212232,6094505.803075687,"11902410.64212232,6094505.803075687","(47.92571776720567, 106.92117397685328)"
37,47,Шинжлэх ухаан технологийн их сургууль,0,7,105,,news@must.edu.mn,11902726.812533468,6093889.529602694,"11902726.812533468,6093889.529602694","(47.92200794370838, 106.92401418398047)"
38,48,Боловсролын Их Сургууль,976,7,105,,,11902736.36725916,6093274.450415894,"11902736.36725916,6093274.450415894","(47.918305044244455, 106.92410001554173)"
39,49,Этүгэн дээд сурггуль,0,7,105,, WWW.ETUGEN.MN,11903240.373946808,6093696.04834707,"11903240.373946808,6093696.04834707","(47.920843176506686, 106.92862758464986)"
40,50,"Боловсролын Их Сургууль - Математик, Статистикын сургууль",323102,7,105,,,11903203.676237162,6094001.199281167,"11903203.676237162,6094001.199281167","(47.922680189033045, 106.92829792351519)"
41,51,Хүмүүнлэгийн Ухаанын Их Сургууль,976,7,105,, uh@humanities.mn ,11902177.421526955,6093841.756392897,"11902177.421526955,6093841.756392897","(47.92172034894395, 106.9190789205994)"
42,52,"МУИС- Хэрэглээний Шинжлэх Ухаан, Инженерчлэлийн Сургууль",32,7,103,, info@seas.num.edu.mn,11902107.879891649,6094196.472071176,"11902107.879891649,6094196.472071176","(47.923855699497835, 106.9184542174606)"
43,53,МУИС-Шинжлэх Ухаааны Их Сургууль,77307730,7,103,,sas@num.edu.mn,11902478.718792493,6094008.365208781,"11902478.718792493,6094008.365208781","(47.92272332722501, 106.92178551998636)"
44,55,,0,9,146,,,11901550.046830663,6098044.598735002,"11901550.046830663,6098044.598735002","(47.94701534674394, 106.91344311781391)"
45,58,Глобаль дээд сургууль,0,7,108,,,11902122.482371839,6095616.528695375,"11902122.482371839,6095616.528695375","(47.9324034061475, 106.91858539377202)"
46,59,СУИС,0,7,108,,,11902611.751187785,6095800.156717365,"11902611.751187785,6095800.156717365","(47.93350860995627, 106.92298057032609)"
47,61,Соёл Эрдэм ДС,0,7,98,,,11903037.264671853,6092690.423704175,"11903037.264671853,6092690.423704175","(47.914788841572246, 106.92680302298946)"
48,62,АШУИС,0,7,98,,,11902563.583915398,6092858.8240142055,"11902563.583915398,6092858.8240142055","(47.91580274029778, 106.92254787635629)"
49,63,Хасбаатар гудамж,99111111,3,21,,,11898175.55107558,6094167.808186686,"11898175.55107558,6094167.808186686","(47.923683149243764, 106.88312950668403)"
50,64,,,3,9,,,11898283.639803383,6092827.771473079,"11898283.639803383,6092827.771473079","(47.915615781732924, 106.8841004842463)"
51,65,,,3,9,,,11897677.681276761,6093032.598830392,"11897677.681276761,6093032.598830392","(47.9168489768345, 106.87865706618622)"
52,66,,,3,9,,,11898669.571143063,6092891.966604373,"11898669.571143063,6092891.966604373","(47.916002281711386, 106.88756736445683)"
53,68,,,4,55,,,11904693.21117997,6092164.919185678,"11904693.21117997,6092164.919185678","(47.91162477452492, 106.94167864356871)"
54,70,,,9,144,,,11901634.234451946,6097151.788395329,"11901634.234451946,6097151.788395329","(47.941642962200945, 106.91419938808322)"
55,71,залуучуудын өргөн чөлөө гудамж,99038513,7,103,,,11902555.294780066,6094234.476999982,"11902555.294780066,6094234.476999982","(47.92408447988816, 106.92247341378668)"
